mark,model,generation_name,year,mileage,vol_engine,fuel,price
audi,a3,gen-8p-2003-2012,2012,156000,1968,Diesel,38800
audi,a3,gen-8p-2003-2012,2007,256000,1896,Diesel,15988
audi,a3,gen-8p-2003-2012,2009,202000,1400,Gasoline,25600
audi,a3,gen-8p-2003-2012,2010,194335,1598,Diesel,29900
audi,a3,gen-8p-2003-2012,2005,188000,1968,Diesel,15900
audi,a3,gen-8p-2003-2012,2008,260000,1595,Gasoline,22222
audi,a3,gen-8p-2003-2012,2008,187695,1595,Gasoline,28900
audi,a3,gen-8p-2003-2012,2009,246500,1798,Gasoline,21900
audi,a3,gen-8p-2003-2012,2006,179900,1595,Gasoline,20900
audi,a3,gen-8p-2003-2012,2011,195000,1390,Gasoline,29800
audi,a3,gen-8p-2003-2012,2010,267000,1968,Diesel,29950
audi,a3,gen-8p-2003-2012,2010,176819,1798,Gasoline,28999
audi,a3,gen-8p-2003-2012,2007,243132,1968,Diesel,26900
